qlbase_method,usage_type,metric_type,metric_display_name,category,notes
get_avg_function,metric_specific,numeric_mean,Mean,Distribution,
get_stddev_function,metric_specific,numeric_stddev,Standard deviation,Distribution,
get_stddev_function,metric_specific,text_std_length,Standard deviation string length,Distribution,
get_approx_percentile_func,metric_specific,numeric_median,Median,Distribution,
get_approx_percentile_func,metric_specific,percentile_20,20th percentile,Distribution,
get_approx_percentile_func,metric_specific,percentile_40,40th percentile,Distribution,
get_approx_percentile_func,metric_specific,percentile_60,60th percentile,Distribution,
get_approx_percentile_func,metric_specific,percentile_80,80th percentile,Distribution,
get_approx_percentile_func,metric_specific,approx_quantiles0,Max (quantile),Distribution,
get_approx_percentile_func,metric_specific,approx_quantiles1,~80th percentile (quantile),Distribution,
get_approx_percentile_func,metric_specific,approx_quantiles2,~60th percentile (quantile),Distribution,
get_approx_percentile_func,metric_specific,approx_quantiles3,~40th percentile (quantile),Distribution,
get_approx_percentile_func,metric_specific,approx_quantiles4,~20th percentile (quantile),Distribution,
get_approx_percentile_func,metric_specific,approx_quantiles5,Min (quantile),Distribution,
get_approx_quantiles_func,metric_specific,approx_quantiles,Approximate quantiles (5 buckets),Distribution,
get_distinct_count_func,metric_specific,approx_distinct_count,Unique (count),Uniqueness,
get_distinct_count_func,metric_specific,approx_distinctness,Unique (%),Uniqueness,
get_distinctness_func,metric_specific,approx_distinctness,Unique (%),Uniqueness,
get_casting_to_decimal_expression,metric_specific,sum,Sum,Distribution,
get_length,metric_specific,text_mean_length,Mean string length,Distribution,
get_length,metric_specific,text_min_length,Min string length,Distribution,
get_length,metric_specific,text_max_length,Max string length,Distribution,
get_length,metric_specific,text_std_length,Standard deviation string length,Distribution,
get_conditional_count_expression,metric_specific,zero_count,Zero (count),Validity,
get_conditional_count_expression,metric_specific,zero_rate,% zero,Validity,
get_conditional_count_expression,metric_specific,negative_count,Negative (count),Validity,
get_conditional_count_expression,metric_specific,negative_rate,% negative,Validity,
get_conditional_count_expression,metric_specific,nan_count,NaN (count),Validity,
get_conditional_count_expression,metric_specific,nan_rate,% NaN,Validity,
get_conditional_count_expression,metric_specific,empty_string_count,Empty (count),Completeness,
get_conditional_count_expression,metric_specific,empty_string_rate,% empty,Completeness,
get_conditional_count_expression,metric_specific,true_count,True (count),Validity,
get_conditional_count_expression,metric_specific,true_rate,% true,Validity,
get_conditional_count_expression,metric_specific,false_count,False (count),Validity,
get_conditional_count_expression,metric_specific,false_rate,% false,Validity,
get_conditional_count_expression,metric_specific,text_timestamp_count,Timestamp (count),Validity,
get_conditional_count_expression,metric_specific,text_timestamp_rate,% timestamp,Validity,
get_conditional_count_expression,metric_specific,text_not_timestamp_count,Not timestamp (count),Validity,
get_conditional_count_expression,metric_specific,past_timestamp_count,In past (count),Validity,
get_conditional_count_expression,metric_specific,past_timestamp_rate,% in past,Validity,
get_conditional_count_expression,metric_specific,future_timestamp_count,In future (count),Validity,
